Title,Link,Citations,Year
Impact of modern slavery allegations on operating performance,https://harisportal.hanken.fi/files/53572481/Impact_of_Modern_Slavery_Allegations_AAM.pdf,18,2023
Eliminating corporate exploitation: Examining accountability regimes as means to eradicate forced labor from supply chains,N/A,31,2016
Creative capitalism and human trafficking: A business approach to eliminate forced labor and human trafficking from global supply chains,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2902832,31,2016
Hidden slaves: Forced labor in the United States,https://escholarship.org/content/qt4jn4j0qg/qt4jn4j0qg.pdf,125,2004
Modern slavery in supply chains: a systematic literature review,https://www.tandfonline.com/doi/pdf/10.1080/13675567.2022.2118696,27,2024
Modern slavery and the employment relationship: Exploring the continuum of exploitation,https://www.researchgate.net/profile/Martijn-Boersma/publication/358080674_Modern_slavery_and_the_employment_relationship_Exploring_the_continuum_of_exploitation/links/63eab5b04dcb750da7571969/Modern-slavery-and-the-employment-relationship-Exploring-the-continuum-of-exploitation.pdf,32,2022
Modern slavery challenges to supply chain management,https://www.nottingham.ac.uk/research/beacons-of-excellence/rights-lab/resources/academic-publications/2019/march/trautrims-supply-chain-management.pdf,409,2015
"Troubling freedom: Migration, debt, and modern slavery",https://academic.oup.com/migration/article-pdf/1/2/176/3139404/mns002.pdf,276,2013
Blood bricks: Untold stories of modern slavery and climate change from Cambodia,https://opendocs.ids.ac.uk/articles/online_resource/Blood_Bricks_Untold_Stories_of_Modern_Slavery_and_Climate_Change_from_Cambodia/26430829/1/files/48080599.pdf,65,2018
A look at labor issues in the manufacturing of fashion through the perspective of human trafficking and modern-day slavery,N/A,11,2020
Forced Labor in the US Construction Industry,N/A,3,2021
Modern slavery as a management practice: Exploring the conditions and capabilities for human exploitation,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2070311,649,2013
That's How We Do Things Here: Local Culture and the Construction of Sweatshops and Anti‐Sweatshop Activism in Two Campus Communities,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1475-682X.2005.00121.x,36,2005
An investigation into exploitation and modern-day slavery on construction sites in Ghana.,https://ir.knust.edu.gh/bitstream/123456789/14214/1/Kuutiero%20Renata%20Mwinome.pdf,0,2021
Modern slavery in construction engineering industry: Challenges and opportunities,https://legacy.csce.ca/elf/apps/CONFERENCEVIEWER/conferences/2019/pdfs/PaperPDFversion_268_0610124511.pdf,0,2019
Capitalism and unfree labor: a review of Marxist perspectives on modern slavery,https://eprints.whiterose.ac.uk/149433/22/Rioux%2C%20LeBaron%20and%20Verovsek%20-%20Capitalism%20and%20unfree%20labour.pdf,99,2020
Modern slavery and fair trade products: Buy one and set someone free,https://www.academia.edu/download/43660684/Manokha_Fair_Trade.pdf,20,2004
Modern slavery statements: From regulation to substantive supply chain reporting,https://www.sciencedirect.com/science/article/pii/S0959652621020904,42,2021
Forced labour and human trafficking: Estimating the profits,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1838403,405,2005
Modern slavery and the production of consumer goods in a global economy: Consumer choice-not law-will trigger the next Diaspora,N/A,16,2003
Modern Slavery in Global Supply Chains: Towards a Legislative Solution,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3731743,14,2021
"Surveillance by another name: The Modern Slavery Act, global factory workers, and part-time sex work in Sri Lanka",https://repository.essex.ac.uk/23396/1/Surveillance%20paper-%2010-18-18.pdf,22,2020
Life interrupted: Trafficking into forced labor in the United States,https://library.oapen.org/bitstream/handle/20.500.12657/61581/1/external_content.pdf,205,2014
The ugly side of construction: modern slavery in the 2022 FIFA World Cup program,N/A,5,2024
Addressing forced labor in supply chains in California,https://www.sciencedirect.com/science/article/pii/S2590198222001956,8,2022
"The sweatshop, child labor, and exploitation issues in the garment industry",N/A,47,2009
