"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Wallmyr M.; Sitompul T.A.","Wallmyr, Markus (56902583400); Sitompul, Taufik Akbar (57211169254)","56902583400; 57211169254","On the Interaction Between Construction Vehicles and Humans in Close Cooperation","2024","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14535 LNCS","","","292","298","6","0","10.1007/978-3-031-61688-4_28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200656977&doi=10.1007%2f978-3-031-61688-4_28&partnerID=40&md5=b3a934bcaeec871d3b44e97dc40db357","Conference paper","Final","","Scopus","2-s2.0-85200656977"
"The Lancet Child & Adolescent Health","The Lancet Child & Adolescent Health (57196037897)","57196037897","Water insecurity: an urgent threat to child health","2023","The Lancet Child and Adolescent Health","7","2","","77","","","0","10.1016/S2352-4642(23)00003-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146620110&doi=10.1016%2fS2352-4642%2823%2900003-2&partnerID=40&md5=80f965fc82d0ce8a629703e31e19e7a9","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85146620110"
"Einarsdóttir J.; Gunnlaugsson G.","Einarsdóttir, Jónína (6505870177); Gunnlaugsson, Geir (7003555253)","6505870177; 7003555253","Child Fatalities in Tractor-Related Accidents in Rural Iceland, 1918–2024: A Historical Analysis","2024","International Journal of Environmental Research and Public Health","21","10","1295","","","","0","10.3390/ijerph21101295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207286961&doi=10.3390%2fijerph21101295&partnerID=40&md5=374f0906dcf4b8acb9cf1bf0212f835f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85207286961"
"Adewumi S.; Bwowe P.","Adewumi, Samson (57208281192); Bwowe, Patrick (57205735989)","57208281192; 57205735989","Child Labour Challenges and Security Implications in Selected Local Government Areas in Ondo State, Nigeria","2024","Social Sciences","13","10","512","","","","0","10.3390/socsci13100512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207267487&doi=10.3390%2fsocsci13100512&partnerID=40&md5=7f38d1911ec9320d388735433ebf3a78","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85207267487"
"Woodmansee S.","Woodmansee, Sylvia (58844268900)","58844268900","Invisible Hands: Forced Labor in the United States and the H-2 Temporary Worker Visa Program","2023","California Law Review","111","4","","1223","1265","42","0","10.15779/Z385M62790","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183203834&doi=10.15779%2fZ385M62790&partnerID=40&md5=cd2cfa4a0a69a70f890346e36712f2e9","Article","Final","","Scopus","2-s2.0-85183203834"
"Korostelina K.V.","Korostelina, Karina V. (12806393000)","12806393000","Memory sites within unfinished reconciliation between Japan and South Korea","2024","Memory Sites and Conflict Dynamics: Collective Memory, Identity, and Power","","","","144","179","35","0","10.4324/9781003497332-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208349995&doi=10.4324%2f9781003497332-8&partnerID=40&md5=e3e5c6c859f1cf838319451721dd0082","Book chapter","Final","","Scopus","2-s2.0-85208349995"
"Madrid N.S.","Madrid, Nuria Sánchez (39764029400)","39764029400","Labor Exploitation, Class Consciousness and Gender in Spanish Literature of the Silver Age: the Working Woman in La tribuna by Emilia Pardo Bazán and Tea rooms by Luisa Carnés; [Explotación laboral, conciencia de clase y género en la literatura española de la Edad de Plata: la mujer trabajadora en La tribuna de Emilia Pardo Bazán y Tea rooms de Luisa Carnés]","2023","Bajo Palabra","","33","","191","218","27","0","10.15366/BP2023.33.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182407839&doi=10.15366%2fBP2023.33.008&partnerID=40&md5=b1efff07a243454f248c7baa4f56f60a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182407839"
"Locatelli G.; Zagaria I.; Dei G.; Sainati T.","Locatelli, Giorgio (57210769700); Zagaria, Ilaria (59363235600); Dei, Giacomo (59236309800); Sainati, Tristano (56527436400)","57210769700; 59363235600; 59236309800; 56527436400","Social Washing in Architecture, Engineering, and Construction Firms","2025","Journal of Management in Engineering","41","1","04024060","","","","0","10.1061/JMENEA.MEENG-6095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206079483&doi=10.1061%2fJMENEA.MEENG-6095&partnerID=40&md5=636e20e8bbeeb5a385aad0002d810ecf","Article","Final","","Scopus","2-s2.0-85206079483"
"Lenski N.","Lenski, Noel (26632273100)","26632273100","Slavery in the Roman Empire","2023","The Palgrave Handbook of Global Slavery throughout History","","","","87","107","20","0","10.1007/978-3-031-13260-5_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173842048&doi=10.1007%2f978-3-031-13260-5_5&partnerID=40&md5=bcdb26b7c93234b1eead60c791e86e83","Book chapter","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85173842048"
"Peláez L.G.; Niell P.","Peláez, Luis Gordo (57854890200); Niell, Paul (41461688800)","57854890200; 41461688800","Architecture and Extraction in the Atlantic World, 1500–1850","2023","Architecture and Extraction in the Atlantic World, 1500–1850","","","","1","245","244","0","10.4324/9781003367413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180058663&doi=10.4324%2f9781003367413&partnerID=40&md5=e4acb611b15c2e913745d12db6152185","Book","Final","","Scopus","2-s2.0-85180058663"
