,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
2,Einarsdóttir J.; Gunnlaugsson G.,"Einarsdóttir, Jónína (6505870177); Gunnlaugsson, Geir (7003555253)",6505870177; 7003555253,"Child Fatalities in Tractor-Related Accidents in Rural Iceland, 1918–2024: A Historical Analysis",2024,International Journal of Environmental Research and Public Health,21,10,1295,,,,0,10.3390/ijerph21101295,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207286961&doi=10.3390%2fijerph21101295&partnerID=40&md5=374f0906dcf4b8acb9cf1bf0212f835f,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85207286961
3,Adewumi S.; Bwowe P.,"Adewumi, Samson (57208281192); Bwowe, Patrick (57205735989)",57208281192; 57205735989,"Child Labour Challenges and Security Implications in Selected Local Government Areas in Ondo State, Nigeria",2024,Social Sciences,13,10,512,,,,0,10.3390/socsci13100512,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207267487&doi=10.3390%2fsocsci13100512&partnerID=40&md5=7f38d1911ec9320d388735433ebf3a78,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85207267487
4,Woodmansee S.,"Woodmansee, Sylvia (58844268900)",58844268900,Invisible Hands: Forced Labor in the United States and the H-2 Temporary Worker Visa Program,2023,California Law Review,111,4,,1223,1265,42.0,0,10.15779/Z385M62790,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183203834&doi=10.15779%2fZ385M62790&partnerID=40&md5=cd2cfa4a0a69a70f890346e36712f2e9,Article,Final,,Scopus,2-s2.0-85183203834
6,Madrid N.S.,"Madrid, Nuria Sánchez (39764029400)",39764029400,"Labor Exploitation, Class Consciousness and Gender in Spanish Literature of the Silver Age: the Working Woman in La tribuna by Emilia Pardo Bazán and Tea rooms by Luisa Carnés; [Explotación laboral, conciencia de clase y género en la literatura española de la Edad de Plata: la mujer trabajadora en La tribuna de Emilia Pardo Bazán y Tea rooms de Luisa Carnés]",2023,Bajo Palabra,,33,,191,218,27.0,0,10.15366/BP2023.33.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182407839&doi=10.15366%2fBP2023.33.008&partnerID=40&md5=b1efff07a243454f248c7baa4f56f60a,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85182407839
7,Locatelli G.; Zagaria I.; Dei G.; Sainati T.,"Locatelli, Giorgio (57210769700); Zagaria, Ilaria (59363235600); Dei, Giacomo (59236309800); Sainati, Tristano (56527436400)",57210769700; 59363235600; 59236309800; 56527436400,"Social Washing in Architecture, Engineering, and Construction Firms",2025,Journal of Management in Engineering,41,1,04024060,,,,0,10.1061/JMENEA.MEENG-6095,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206079483&doi=10.1061%2fJMENEA.MEENG-6095&partnerID=40&md5=636e20e8bbeeb5a385aad0002d810ecf,Article,Final,,Scopus,2-s2.0-85206079483
11,Kızılelmas F.,"Kızılelmas, Fatma (58915464900)",58915464900,"Labor exploitation, discrimination and coping tactics of male forced migrants in Türkiye",2023,Asian and Pacific Migration Journal,32,4,,725,748,23.0,0,10.1177/01171968241231592,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186415158&doi=10.1177%2f01171968241231592&partnerID=40&md5=b70d8545bca2d58df113bb21ebc1bb23,Article,Final,,Scopus,2-s2.0-85186415158
12,Vo T.; Purkayastha B.,"Vo, Timothea (57215044656); Purkayastha, Bandana (6603016973)",57215044656; 6603016973,Global Health Care Experiences of Female Survivors Who Experienced Trafficking: A Meta-Ethnography,2023,Journal of Midwifery and Women's Health,68,2,,221,232,11.0,0,10.1111/jmwh.13449,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146059211&doi=10.1111%2fjmwh.13449&partnerID=40&md5=13530279055ec5af4ab7220a7671a677,Review,Final,,Scopus,2-s2.0-85146059211
13,Ajefu J.B.; Massacky F.,"Ajefu, Joseph B. (57196469000); Massacky, Falecia (58583695700)",57196469000; 58583695700,"Mobile money, child labour and school enrolment",2023,Telecommunications Policy,47,10,102648,,,,3,10.1016/j.telpol.2023.102648,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171373011&doi=10.1016%2fj.telpol.2023.102648&partnerID=40&md5=5b5cb015af0b0406c56b40f30a93570d,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85171373011
14,Man F.,"Man, Fuat (56005204200)",56005204200,Muckraking Through the Novel: Upton Sinclair's the Jungle and the Early History of Human Resources Management,2024,Organizacija,57,1,,99,112,13.0,0,10.2478/orga-2024-0007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186919381&doi=10.2478%2forga-2024-0007&partnerID=40&md5=501b155354234b25f37e58ec5afc17ef,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85186919381
15,Pérez-Iglesias L.R.; Rodríguez-Bruzón Y.,"Pérez-Iglesias, Lourdes Del Rosario (58642762000); Rodríguez-Bruzón, Yosbani (58643235300)",58642762000; 58643235300,FAUNA-DEPENDENT FEEDING IN EARLY HISPANIC-INDIGENOUS INTERACTION SITES IN NORTHEASTERN CUBA AND ITS CONNECTION WITH COLONIZATION PROCESSES; [ALIMENTAÇÃO DEPENDENTE DA FAUNA EM LOCAIS DE INTERAÇÃO HISPANO-INDÍGENA INICIAL NO NORDESTE DE CUBA E SUA RELAÇÃO COM OS PROCESSOS DA COLONIZAÇÃO]; [ALIMENTACIÓN DEPENDIENTE DE LA FAUNA EN SITIOS DE INTERACCIÓN HISPANO-INDÍGENA TEMPRANA EN EL NORORIENTE DE CUBA Y SU CONEXIÓN CON LOS PROCESOS DE COLONIZACIÓN],2023,Revista de Arqueologia,36,3,,57,80,23.0,0,10.24885/sab.v36i3.1045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173912923&doi=10.24885%2fsab.v36i3.1045&partnerID=40&md5=d7d2d432b87a558bc735322fb37c9e8d,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85173912923
